id,shop_name,shop_name_branch,shop_name_official,shop_name_kana,ramendb_url,rating_value,rating_cnt,addr_region,addr_local,street_addr,latitude,longitude,tel,opening_hors,regular_holiday,nearest_station,menu,memo,official_site,facebook,twitter,instagram
1,ラーメン二郎,ひばりヶ丘駅前店,ラーメン二郎 ひばりヶ丘駅前店,らーめんじろう,https://ramendb.supleks.jp/s/4738.html,98.960,"1,248",東京都,西東京市,谷戸町3-27-24 ひばりヶ丘プラザ1F,35.74995713981036,139.54354908317373,非公開,"11:30～14:30／17:30～20:30
※水曜日は夜の部お休み
[土] 11:00～17:00
※麺が無くなり次第終了","水曜夜の部
日曜
※祝日は不定休、営業有無は店内表示やTwitterで告知有り",西武池袋線『ひばりヶ丘駅』（268m）,"少なめ(豚1枚) 680円
小ラーメン(豚2枚) 780円
小ラーメン豚入り(豚4枚) 900円
大ラーメン(豚2枚) 880円
大ラーメン豚入り(豚4枚) 1000円

ウーロン茶 100円
70円券 70円(お餅)","麺硬めはできません。
箸は割箸。レンゲなし。
食券は後買い制。",,,https://twitter.com/Aarf0xvdBXkWd7o,
2,ちばから,,ちばから,ちばから,https://ramendb.supleks.jp/s/4227.html,98.859,621,千葉県,市原市,西国分寺台1-3-16,35.50166679973816,140.11246740818171,0436-23-8807,"11:15〜15:00／18:15〜22:00
[日] 11:15〜15:00／18:15〜21:00
※材料切れの場合、早めに閉店あり。",月曜、火曜,小湊鉄道線『上総村上駅』（1.3km）,"らーめん 豚一切れ 1050円
らーめん 豚無  870円
ミニらーめん 豚一切れ  880円
油そば醤油 （刻み豚・温玉付）1070円
油そばごまだれ （刻み豚・温玉付）1070円
つけ麺醤油 （豚一切れ 温玉付） 1070円（熱盛り可）
つけ麺ごまだれ （豚一切れ 温玉付き）1070円（熱盛り可）

節券  30円
豚券 豚1枚  200円
麺大盛券  70円
特盛券  150円
白めし  100円
豚めし  300円
味玉  100円
チーズ  100円
温玉  50円
のり  50円
レン草  50円
生卵  30円
缶ビール  300円

【無料トッピング】
ヤサイ・ニンニク・アブラ・カラメ（濃いめ）・ネギ・ラー油

※※お願です※※
後のお好みのコール等の際なんですが…にんにくはデフォでは入ってません。
「にんにく抜きー」「にんにく無しで」等は、ほとんどの場合私たちには、
「にんにくネギ」に聞こえてしまいます。にんにくを入れたくないお客様は「にんにく」という単語を発声しないようお勧めします。","＊「先のお好み」は、カウンターに座られましたらすぐにお客様の方からお申しつけください。
「後のお好み」は、こちらから「どうしますか?」とお聞き致しますので、その際に、お申しつけください。

「先のお好み」
麺少なめ、アブラ少なめ、麺硬め、軟らかめ、味薄め、有料のトッピング

「後のお好み」
野菜(増やす)、からめ(濃い味)、にんにく(入れる)、あぶら(増やす)、ねぎ(入れる)、ラー油(入れる)、チョイ増し、マシマシなんでもどうぞ。

女性orお子様限定サービス
ミニラーメンをミニ油そば（醤油or胡麻）ミニつけ麺（醤油or胡麻）へ変更可能です。

【特徴】
レンゲあり
麺量（少なめのみ）麺の硬軟,アブラ量（少なめのみ）,スープ薄濃:食券提示と同時申告
水はセルフサービス
麺切れで終了
トッピングは後で聞かれる
店主はラーメン二郎 京成大久保店で修業
二郎の様で二郎でない味!ちばから!!!

一般のラーメン店と比べて臨時休業が多いので、臨休情報を事前にチェックする事をお勧めします。",,,https://twitter.com/Chibakara_1hara,https://www.instagram.com/chibakara.ichihara
3,ラーメン二郎,横浜関内店,ラーメン二郎 横浜関内店,らーめんじろう,https://ramendb.supleks.jp/s/2532.html,98.846,"1,211",神奈川県,横浜市中区,長者町6-94,35.441962404217946,139.6307782083793,非公開,"11:00～14:30
17時頃～21時頃まで
※ 材料切れにて早仕舞いあり",水曜（臨時休業や早仕舞いあり）,横浜市高速鉄道1号線・3号線『伊勢佐木長者町駅』（240m）,"小ラーメン(豚2枚)  780円
小ぶた (豚5枚)880円
小ぶたダブル(豚8枚) 980円
大ラーメン(豚2枚) 830円
大ぶた(豚5枚)  930円
大ぶたダブル(豚8枚)  1030円

汁なし +80円(店員の麺量確認時に要事前申請)

※麺増し可能(店員の麺量確認時に要事前申請。申請後に大の食券を購入)

ネギ 100円
粉チーズ 100円
トロロ 100円
ニラキムチ 80円
味つけ玉子 80円
生玉子 50円(現金)

※無料トッピング(提供直前に店員から確認が入った際に申請)
ニンニク(有無)・ヤサイ(多め)・アブラ(多め)・カラメ(味濃いめ)・ベニ(紅生姜)","2004年10月OPENの二郎直系

・店内入口左手に券売機有り

・満席時の店内待ち不可。店外で待つが、隣店の自転車を塞がない様に

・外待ち時、食券購入前に店員から大きさ(麺量)を確認される為、事前に決めておきましょう

・『汁なし』希望時は、大きさ(麺量)確認の際に要事前申請

・麺マシ／麺少なめ／麺半分、麺かため、脂少なめ、味薄め、は大きさ(麺量)確認時に申請。麺増しは申請後『大』の食券を購入

・無料トッピングは提供直前に店員から確認が入った際に伝えましょう

・汁なしはスープ割りができます
固形物食べ終わったらスープ割を店員さんにお願いして丼をあげましょう
残ったタレにベースの豚骨スープを入れてくれます

・箸は割箸。レンゲ有り。水はセルフ

・店外に飲料の自販機有り(黒烏龍茶 180円)

・臨時休業の場合有り。訪問前に必ずツイッターを確認しましょう

・行列率は高いが、二郎各店の中では比較的回転が早め。
待ち人数×1.5分が待ち時間の目安 (アーケードまでで30人くらいです)",,,https://twitter.com/kannaijiro,
4,ラーメン二郎,八王子野猿街道店2,ラーメン二郎 八王子野猿街道店2,らーめんじろう,https://ramendb.supleks.jp/s/4017.html,98.797,"1,280",東京都,八王子市,堀之内2-13-16,35.629491701672,139.40136551857,非公開,"11:00～14:30位／17:00～22:00位
[土・祝] 11:00～15:00位／17:00位～22:00位
[日] 9:30～16:00位
※月曜が祝日の場合は、10:00～17:00で営業
※売り切れ次第終了",月曜,京王相模原線『京王堀之内駅』（570m）,"プチ二郎 770円 (ブタマシ不可)180g
小ラーメン 790円 300～350g
大ラーメン 890円 450～500g
小つけ麺 940円
大つけ麺 1040円
ポッチ 680円 (女性限定。プチの麺少なめ、ブタ1枚、野菜少なめ、あっさり仕様。ヤサイマシ可能)

ブタ 150円～200円 (相場変動制、1人1枚まで)
麺マシする場合は、募金箱へ募金が必要

しょうが 50円
辛い奴 50円 (1枚で辛さ2倍まで、1人2枚まで)
Kiri 100円
炙崩豚(iruka) 100円
ネギ 150円
和風BB 150円

うずら 100円
生たまご 50円
生たまごW 100円
たまねぎたまご 100円
気まぐれたまご 100円
レジェンド 200円 (うずら5個＋生たまご2個)

ビール(缶) 300円","・先に食券を購入してから列に並ぶこと。
・食券は1人ずつ購入すること。出入口はふさがないように。
・横入り禁止。複数人での入店の場合は人数が揃ってから列に並ぶこと(列内での待ち合わせも禁止)
・店内待ちは、出入口左側を先頭に2席と出入口を挟んで右側に8席の椅子へ。
・入店待ち先頭は、右側最奥の椅子が空いたら入店し、着席すること。
・店内待ち中、店員さんが食券を半分だけもぎりに来ます。この時に麺少なめ・麺半分・麺マシ、味薄め、アブラ少なめ、つけ麺あつもり等の希望がある方は申告すること。
・麺の硬め指定は不可。
・ファーストロットとテーブル席は最初にコールします。
・席が空き次第、着席しカウンター上に食券の半券を置くこと。
テーブル席はファミリー、グループ、カップル客優先。

・レンゲあり。水、レンゲはセルフ。
・卓上には長さの異なるエコ箸。胡椒、唐辛子、醤油ボトルあり。
・プチ二郎はブタマシ不可。コーンがデフォルトで少し入っています。女性にはうずら1個サービス。

・辛い奴：スープを辛くすること。1枚で辛さ2倍まで、1人2枚まで購入可能。
・炙崩豚(iruka)：崩れた豚を炙り、細切りネギをトッピングしたもの。
・kiri：kiriチーズそのもの。
・和風BB：魚粉のこと。ラーメンの上から振りかけられます。別皿不可。
・気まぐれたまご：日によって氣まぐれで卵の味付けが異なるもの。
・レジェンド：毎日ラーメン二郎を食べていた伝説的ブロガー「康太(yasuta)氏」が来店するたびに注文していた卵類をメニュー化したもの。
名前の由来は彼が活動を停止し、伝説的=レジェンドな存在になったことから。

・ラーメン二郎の中でもラーメンの全体量が多いので注意すること。
・鍋二郎(ラーメン二郎のテイクアウト)可能。",,,https://twitter.com/Jiro_Yaenkaido2,
5,ラーメン二郎,京成大久保店,ラーメン二郎 京成大久保店,らーめんじろう,https://ramendb.supleks.jp/s/4731.html,97.943,354,千葉県,船橋市,三山2-1-11,35.69153075462318,140.04962325096244,047-472-5559,11:00〜15:00,日曜、祝日,京成本線『京成大久保駅』（620m）,"ミニ…600円（ヤサイ増し不可。豚マシは＋現金100円で可能）
小ラーメン…700円
小ブタ…800円
大ラーメン…800円
大ブタ…900円
小つけ麺…800円
大つけ麺…900円
みそラーメン…800円
みそつけ麺…800円","食券は入店時に購入。
水はセルフ。レンゲ、ティッシュ有り。
麺固め、麺やわらかめ、麺少なめ、麺半分、脂少なめ、味うすめは食券提示時に申請。

つけ麺の麺量はラーメンに比べて多め。
つけ麺の豚マシは食券+現金100円。
つけ麺はトッピングを聞かれません！コールしたい場合は、食券提出時に申告する必要があります。",,,https://twitter.com/mayunabegumi,
6,ラーメン二郎,神田神保町店,ラーメン二郎 神田神保町店,らーめんじろう,https://ramendb.supleks.jp/s/105637.html,97.896,275,東京都,千代田区,神田神保町1-21-4,35.69518501084537,139.76084136683005,不明,11:00～17:30（材料切れによる早じまい有）,日曜、祝日,東京メトロ半蔵門線、都営三田線など『神保町駅』（248m）,"小    750円
小豚   850円
大    850円
大豚   950円
生卵    50円
千切り生姜 100円
うずら卵 100円","店頭に黒烏龍茶入りの自販機有


基本いつでも行列してます

＊待ち時間の目安
完全入れ替え制の為、待ち人数5人毎に10分足して計算すれば、食べ始めまでの概算時間が分かります。

店外1〜5番目で食べ始めまで10〜20分、
6〜10番目で20〜30分、
11〜15番目で30〜40分、、、

という具合です


撮影する場合は、ラーメンのみ(動画撮影不可)",,,https://twitter.com/jbc_jimbolian,
7,ラーメンBoo Boo太郎。,,ラーメンBoo Boo太郎。,らーめん ぶーぶーたろう,https://ramendb.supleks.jp/s/95471.html,97.831,180,千葉県,千葉市中央区,中央4-13-21 小川ビル1F,35.606100057780424,140.12142706256554,非公開,"11:00～14:00
17:30～21:30
[日] 11:00～14:00",水曜,千葉都市モノレール１号線『県庁前駅』（249m）,"小ラーメン 780円
小豚（豚5枚） 880円
大ラーメン 880円
大豚 980円
汁なし 100円
生卵 50円
チーズ 100円
にらキムチ 120円
味付け玉子 100円
のり 80円",,,,https://twitter.com/booboo_taro1219,
8,ラーメン二郎,松戸駅前店,ラーメン二郎 松戸駅前店,らーめんじろう,https://ramendb.supleks.jp/s/286.html,97.498,707,千葉県,松戸市,本町17-9,35.785978219014204,139.8992576077585,非公開,"[月（第1／3／5）～金] 11:00～14:00／18:00～21:00
[月（第2／4）] 18:00～21:00
[土] 11:00～14:00／17:30～20:30
※麺切れにて終了",第2/4月曜の昼営業、日曜,JR常磐線(上野～取手)、新京成電鉄新京成線『松戸駅』（217m）,"小ラーメン 790円
大ラーメン 890円 (メニュー名と価格表示なし)
豚 160円(複数枚の購入不可)

トッピングとコールに関して、いくつかの注意点があります。
下記の備考をお読みください。","コロナ対策のため、現在おひとり様での来店のみとなっています。
二人以上の団体とマスク未着用はお断り。
守って頂けない場合、埒が明かない場合は、警察へ通報致します。
下記に書いてありますのでご確認下さい！

店内待ちあり。先頭1人は店内右側奥の冷蔵庫の前で待ちます。
それ以降は隣の駐車場に向かって並びます。
隣の駐車場と2軒先のマンション入り口の間に電柱があるので、それを目印に折り返して並びます。
並び中に店員さんから食券の確認をされることがあるので、先頭から4人あたりになったら食券を事前に購入しておくと良いでしょう。
列内での喫煙は松戸市条例違反の犯罪行為として通報。待ち合わせ禁止。

[トッピングとコールに関する注意点]
・コールについて
入れたいトッピングを伝えてください。
トッピングを増やす場合は「多め」
ニンニクを入れない場合は「入れない」
「マシ」は「無し」と混同するため、伝えても通じません。
「普通」も通じません。入れたいトッピングを伝えてください。
麺の硬め・柔め、麺マシ、事前の味の注文(味薄め、アブラ少なめ)、各種トッピングのマシ・マシマシができません。
・トッピングについて
野菜はお客様の野菜不足を補うため、最初から若干多めに盛り付けられます。
アブラは豚がほぐれたものが混じることがあります。

レンゲ、ティッシュなし。服掛けあり。

[禁止事項]
持ち帰り、店内および店員さんとお客様の動画撮影・アップロード、ベビーカーと泥酔者の入店

2002年5月OPENの二郎直系。
2012年3月20日に2代目店主にてリニューアルOPEN。
2015年8月9日に3代目店主にて再リニューアルOPEN。

初代店主は現『ラーメン二郎 赤羽店(閉店)』店主。
2代目店主は『ラーメン二郎 池袋東口店』等で修業後、現『ラーメン二郎 新潟店』店主。
3代目現店主は『ラーメン二郎 八王子野猿街道店2』等で修行。
味が旧松戸店とは異なるので、旧店のレビューを見る際は注意。

4月20日からまん延防止等重点措置区域適用の理由で要請解除まで

昼の部 通常

夜の部 17:00頃~19:20頃
(20時までに退店厳守)

※土曜日、木曜日 昼のみ営業で営業致します。
※アクリルパーテーション発注しました。届き次第設置します。
宜敷くお願い致します。

千葉県松戸市も蔓延防止等重点措置の対象となりました。
20日~5月11日迄20時の時短営業要請との事です。
役所の方々の見廻りもあるとの事なので、マスク非着用の方、団体様は入店お断り致します。
ルールを守ってのご来店お願い致します。
埒が明かない場合110番しますので宜敷くお願い致します。",,,https://twitter.com/matsudojiro3,
9,ラーメン二郎,三田本店,ラーメン二郎 三田本店,らーめんじろう,https://ramendb.supleks.jp/s/1419.html,97.472,"1,362",東京都,港区,三田2-16-4,35.64805992782796,139.74163290113393,非公開,"8:30～15:00／17:00～20:00

＊昼の部の行列が多い場合、実質通し営業になっていることもあります。",日曜・祝日,JR山手線、JR京浜東北線『田町駅』（596m）,"ラーメン 600円
ぶた入りラーメン 700円
ぶたダブルラーメン 800円
大ラーメン 650円
ぶた入り大ラーメン 750円
ぶたダブル大ラーメン 850円

無料サービストッピング
ヤサイ（増量する）・ニンニク（入れる）・アブラ（背脂入れる）・カラメ（醤油タレ増やす）
＊ニンニクは申告しなければ入っていません。","1968年創業、ラーメン二郎の本店です。
夜の部は息子さんが仕切っております。（総帥の場合もあります。）
夜の部は特に麺がヤワメなので、苦手な方はカタメかカタカタコールが望ましいです。

※無料サービストッピングは店員の「ニンニク入れますか?」の時に申告してください。
※麺硬め、麺少なめ・麺半分、味薄め・アブラ少な目は事前に申告。大きさ提示、着席時の食券提示のタイミングで。
※大を買えば麺マシ可。こちらも食券提示時等に事前申告。
※ドリンクの持ち込み可(店外に烏龍茶等の自販機有)。
※箸は割箸。レンゲ無し。水は店員から渡されます(給水機無し)。
※マシマシコールは出来ません。

※基本的に鍋は、慶応大学の運動系サークル所属の学生へのサービスです（現在休止中）。一般の方は控えましょう。",,,,
10,ラーメン二郎,相模大野店,ラーメン二郎 相模大野店,らーめんじろう,https://ramendb.supleks.jp/s/2420.html,97.353,569,神奈川県,相模原市南区,相模大野6-14-9 MKプラザⅡ 103号,35.52993103159012,139.43293411284913,不明,"火～金曜 10:30～14:00／17:30～21:00
土曜、営業できる日曜 10:30～15:00
※麺切れ終了有り。又、営業時間が変更になる場合もあるので、訪問前は公式サイト等にて確認要",月曜、（不定休=営業できない日曜、祝祭日、台風上陸、大雪予報）,小田急小田原線、小田急江ノ島線『相模大野駅』（511m）,"(麺量=少なめ:約210g、ラーメン:約300g、大:約450g)
少なめラーメン 770円
ラーメン 770円
大ラーメン 890円

＊注意＊
麺半分を注文したい場合：少なめラーメンの食券を購入し、提示時に「少なめより少なめ」とお申し付けください。

ブタ入り +230円
つけ麺 +150円
お茶漬け～麺 +200円
賄い +200円

極上生たまご +80円
すき焼きタレ生たまご +100円
和っ!カレー +100円","ラーメン二郎直系店。元力士が店主。

・行列での待ち合わせ合流(横入り)厳禁
・1人で食事がとれないお子様の入店不可(且つ、お1人様1杯制)
・店内待ち可(待ち席無し。出口を塞がない様、入口付近に4～5名)
・店内待ち時に食券確認が入る場合があり、店外待ちから店内待ちになった際に、食券を購入した方が良い(店外待ちがない場合は、店内に入った時)
・連席可(男同士の連席は不可)。但し、一人席優先。

・麺の固さ/脂抜き/ブタなし/野菜抜き/麺マシ等の対応は不可
・野菜増量等の無料トッピングサービスは提供直前に店主より確認有(事前申請しない様注意)。
・コールは『ニンニク、ヤサイ、アブラ、カラメ、そのまま(ニンニク不要+ヤサイ等増量不要時)』とシンプルに応答。『マシ(マシマシ・全増し)』のコール不可。尚、ニンニク不要時でヤサイコール等する場合『ニンニク無し(抜き)』の申請は不要(あくまでシンプルにコール)。

・箸はエコ箸と割箸の2種有り。レンゲ有り
・店外に飲料の自販機有り(黒烏龍茶 160円)
・臨時休業や営業時間変更があるので、公式サイト、Facebook、Twitter等確認要",http://sumoji.jp/,https://www.facebook.com/sumojiro,https://twitter.com/sumo_jiro,
