id_tabe,shop_name_tabe,tabelog_url_tabe,rating_value_tabe,rating_cnt_tabe,post_code_tabe,addr_region_tabe,addr_local_tabe,street_addr_tabe,latitude_tabe,longitude_tabe,tel_tabe,eigyo_info_tabe,nearest_station_tabe,homepage_tabe,official_account_tabe
0,ラーメン二郎 ひばりヶ丘駅前店,https://tabelog.com/tokyo/A1328/A132801/13024745/,3.76,456,1880001,東京都,西東京市,谷戸町3-27-24 ひばりがおかプラザ　１Ｆ,35.74992841097288,139.5435377099794,非公開,"日曜定休
※祝日は不定休(たいてい営業します)",ひばりケ丘駅,,https://twitter.com/Aarf0xvdBXkWd7o
1,ちばから,https://tabelog.com/chiba/A1206/A120601/12000912/,3.68,194,2900072,千葉県,市原市,西国分寺台1-3-16,35.50164490630769,140.11253021996885,0436-23-8807,月曜・火曜（突然の臨時休業が多いので注意：特に水曜日）,上総村上駅,http://www.ken21.jp/chibakara/,https://twitter.com/Chibakara_1hara
2,ラーメン二郎 横浜関内店,https://tabelog.com/kanagawa/A1401/A140104/14001518/,3.75,599,2310033,神奈川県,横浜市中区,長者町6-94,35.44194232165381,139.6307777005039,非公開,水曜日,伊勢佐木長者町駅,,https://twitter.com/kannaijiro
3,ラーメン二郎 八王子野猿街道店 ２,https://tabelog.com/tokyo/A1329/A132904/13025633/,3.74,478,1920355,東京都,八王子市,堀之内2-13-16,35.629439648044475,139.4013397892466,042-675-6806,月曜日（ただし、2021.8.1から2021.8.17まで夏季休業）,京王堀之内駅,,https://twitter.com/jiro_yaenkaido2
4,ラーメン二郎 京成大久保店,https://tabelog.com/chiba/A1202/A120204/12000911/,3.69,218,2740072,千葉県,船橋市,三山2-1-11,35.691475168402526,140.04954365530955,047-472-5559,日、祝,京成大久保駅,,https://twitter.com/mayunabegumi
5,ラーメン二郎 神田神保町店,https://tabelog.com/tokyo/A1310/A131003/13216512/,3.72,234,1010051,東京都,千代田区,神田神保町1-21-4,35.69517695189728,139.76084551677883,不明の為情報お待ちしております,日曜日、祝日、不定休あり,神保町駅,,https://twitter.com/jbc_jimbolian
6,ラーメン ブーブー太郎。,https://tabelog.com/chiba/A1201/A120101/12040364/,3.60,126,2600013,千葉県,千葉市中央区,中央4-13-21 小川ビル1F,35.606104167481256,140.12148550007223,不明の為情報お待ちしております,水曜日、日曜日夜の部,県庁前駅,,https://twitter.com/booboo_taro1219
7,ラーメン二郎 松戸駅前店,https://tabelog.com/chiba/A1203/A120302/12000236/,3.70,289,2710091,千葉県,松戸市,本町17-21,35.78598548968404,139.89924067541787,非公開,"日曜日
※祝日は不定休",松戸駅,,https://twitter.com/matsudojiro3
8,ラーメン二郎 三田本店,https://tabelog.com/tokyo/A1314/A131402/13006051/,3.77,1116,1080073,東京都,港区,三田2-16-4,35.64807915181897,139.7415129019302,非公開,日曜・祝日（ほか、臨休あり）,三田駅,,
9,ラーメン二郎 相模大野店,https://tabelog.com/kanagawa/A1407/A140701/14000839/,3.69,273,2520303,神奈川県,相模原市南区,相模大野6-14-9,35.53008221434768,139.4328317484404,非公開,月曜日・第1、3、5日曜日（臨時休業などはブログ参照）,相模大野駅,http://sumoji.jp/,
